dateTime,download,upload,device
Sun 13 Dec 23:30:02  2020,25.57,30.44,cowpi-0abe
Mon 14 Dec 00:00:01  2020,86.99,26.67,cowpi-0abe
Mon 14 Dec 00:30:01  2020,48.52,27.36,cowpi-0abe
Mon 14 Dec 01:00:01  2020,55.89,28.34,cowpi-0abe
Mon 14 Dec 01:30:01  2020,66.68,33.78,cowpi-0abe
Mon 14 Dec 02:00:01  2020,86.87,35.36,cowpi-0abe
Mon 14 Dec 02:30:01  2020,32.64,34.31,cowpi-0abe
Mon 14 Dec 03:00:01  2020,83.43,34.31,cowpi-0abe
Mon 14 Dec 03:30:01  2020,85.51,32.54,cowpi-0abe
Mon 14 Dec 04:00:01  2020,86.75,35.33,cowpi-0abe
Mon 14 Dec 04:30:01  2020,29.15,33.59,cowpi-0abe
Mon 14 Dec 05:00:01  2020,82.72,35.26,cowpi-0abe
Mon 14 Dec 05:30:01  2020,83.05,33.88,cowpi-0abe
Mon 14 Dec 06:00:01  2020,85.77,37.21,cowpi-0abe
Mon 14 Dec 06:30:01  2020,24.74,35.16,cowpi-0abe
Mon 14 Dec 07:00:01  2020,66.04,25.17,cowpi-0abe
Mon 14 Dec 07:30:01  2020,73.24,27.08,cowpi-0abe
Mon 14 Dec 08:00:01  2020,70.69,28.37,cowpi-0abe
Mon 14 Dec 08:30:01  2020,64.01,21.41,cowpi-0abe
Mon 14 Dec 09:00:01  2020,43.84,32.67,cowpi-0abe
Mon 14 Dec 09:30:01  2020,57.95,24.68,cowpi-0abe
Mon 14 Dec 10:00:01  2020,22.6,33.41,cowpi-0abe
Mon 14 Dec 10:30:01  2020,60.46,19.94,cowpi-0abe
Mon 14 Dec 11:00:01  2020,65.21,24.95,cowpi-0abe
Mon 14 Dec 11:30:01  2020,6.75,31.44,cowpi-0abe
Mon 14 Dec 12:00:01  2020,50.93,2.76,cowpi-0abe
Mon 14 Dec 12:30:01  2020,54.74,21.26,cowpi-0abe
Mon 14 Dec 13:00:01  2020,51.99,26.77,cowpi-0abe
Mon 14 Dec 13:30:01  2020,76.75,23.67,cowpi-0abe
Mon 14 Dec 14:00:01  2020,40.56,22.82,cowpi-0abe
Mon 14 Dec 14:30:01  2020,,,cowpi-0abe
Mon 14 Dec 15:00:01  2020,53.75,0.09,cowpi-0abe
Mon 14 Dec 15:30:01  2020,56.93,0.26,cowpi-0abe
Mon 14 Dec 16:00:01  2020,45.16,0.26,cowpi-0abe
Mon 14 Dec 16:30:01  2020,25.42,0,cowpi-0abe
Mon 14 Dec 17:00:01  2020,49.98,0.18,cowpi-0abe
Mon 14 Dec 17:30:01  2020,49.11,0.16,cowpi-0abe
Mon 14 Dec 18:00:01  2020,74.98,0.1,cowpi-0abe
Mon 14 Dec 18:30:01  2020,77.97,0.32,cowpi-0abe
Mon 14 Dec 19:00:01  2020,16.2,0.33,cowpi-0abe
Mon 14 Dec 19:30:01  2020,4.53,9.73,cowpi-0abe
Mon 14 Dec 20:00:01  2020,13.93,8.87,cowpi-0abe
Mon 14 Dec 20:30:01  2020,4.71,23.18,cowpi-0abe
Mon 14 Dec 21:00:01  2020,75.34,26.99,cowpi-0abe
Mon 14 Dec 21:30:02  2020,70.58,23.77,cowpi-0abe
Mon 14 Dec 22:00:01  2020,68.82,25.23,cowpi-0abe
Mon 14 Dec 22:30:01  2020,4.44,23.96,cowpi-0abe
Mon 14 Dec 23:00:01  2020,61.41,23.61,cowpi-0abe
Mon 14 Dec 23:30:01  2020,5.56,22.54,cowpi-0abe
Tue 15 Dec 00:00:01  2020,58.85,25.46,cowpi-0abe
Tue 15 Dec 00:30:02  2020,65.75,24.54,cowpi-0abe
Tue 15 Dec 01:00:01  2020,66.16,25.79,cowpi-0abe
Tue 15 Dec 01:30:01  2020,77.21,27.25,cowpi-0abe
Tue 15 Dec 02:00:01  2020,84.66,12.74,cowpi-0abe
Tue 15 Dec 02:30:01  2020,82.74,23.21,cowpi-0abe
Tue 15 Dec 03:00:02  2020,73.33,20.73,cowpi-0abe
Tue 15 Dec 03:30:01  2020,76.74,23.23,cowpi-0abe
Tue 15 Dec 04:00:01  2020,55.15,30.4,cowpi-0abe
Tue 15 Dec 04:30:01  2020,84.51,18.45,cowpi-0abe
Tue 15 Dec 05:00:01  2020,85.83,34.14,cowpi-0abe
Tue 15 Dec 05:30:01  2020,8,29.71,cowpi-0abe
Tue 15 Dec 06:00:01  2020,30.76,19.25,cowpi-0abe
Tue 15 Dec 06:30:01  2020,63.15,25.25,cowpi-0abe
Tue 15 Dec 07:00:01  2020,76.29,17.94,cowpi-0abe
Tue 15 Dec 07:30:01  2020,82.59,27.31,cowpi-0abe
Tue 15 Dec 08:00:01  2020,23.95,28.78,cowpi-0abe
Tue 15 Dec 08:30:01  2020,75.94,17.29,cowpi-0abe
Tue 15 Dec 09:00:01  2020,43.32,18.83,cowpi-0abe
Tue 15 Dec 09:30:01  2020,74.91,27.89,cowpi-0abe
Tue 15 Dec 10:00:01  2020,13.11,31.13,cowpi-0abe
Tue 15 Dec 10:30:01  2020,32.6,13.89,cowpi-0abe
Tue 15 Dec 11:00:01  2020,35.71,18.2,cowpi-0abe
Tue 15 Dec 11:30:01  2020,75.27,25.27,cowpi-0abe
Tue 15 Dec 12:00:01  2020,17.99,33.32,cowpi-0abe
Tue 15 Dec 12:30:01  2020,3.53,27.32,cowpi-0abe
Tue 15 Dec 13:00:01  2020,20.23,27.99,cowpi-0abe
Tue 15 Dec 13:30:01  2020,7.89,30.31,cowpi-0abe
