Date,Download,Upload
Sun 20 Dec 02:30:01 IST 2020,,
Sun 20 Dec 03:00:01 IST 2020,,
Sun 20 Dec 03:30:01 IST 2020,,
Sun 20 Dec 04:00:01 IST 2020,,
Sun 20 Dec 04:30:01 IST 2020,,
Sun 20 Dec 05:00:01 IST 2020,,
Sun 20 Dec 05:30:02 IST 2020,,
Sun 20 Dec 06:00:01 IST 2020,,
Sun 20 Dec 06:30:01 IST 2020,,
Sun 20 Dec 07:00:01 IST 2020,,
Sun 20 Dec 07:30:01 IST 2020,,
Sun 20 Dec 08:00:01 IST 2020,,
Sun 20 Dec 08:30:01 IST 2020,,
Sun 20 Dec 09:00:01 IST 2020,,
Sun 20 Dec 09:30:01 IST 2020,,
Sun 20 Dec 10:00:01 IST 2020,,
Sun 20 Dec 10:30:01 IST 2020,,
Sun 20 Dec 11:00:01 IST 2020,,
Sun 20 Dec 11:30:01 IST 2020,,
Sun 20 Dec 12:00:01 IST 2020,,
Sun 20 Dec 12:30:01 IST 2020,,
Sun 20 Dec 13:00:01 IST 2020,,
Sun 20 Dec 13:30:01 IST 2020,,
Sun 20 Dec 13:30:02 IST 2020,,
Sun 20 Dec 15:00:33 IST 2020,29.96,61.62
Sun 20 Dec 15:30:01 IST 2020,0.6,6.59
Sun 20 Dec 16:00:01 IST 2020,0.75,14.79
Sun 20 Dec 16:30:01 IST 2020,0.68,16.26
Sun 20 Dec 17:00:01 IST 2020,0.73,17
Sun 20 Dec 17:30:01 IST 2020,0.76,16.21
Sun 20 Dec 18:00:01 IST 2020,0.72,17.11
Sun 20 Dec 18:30:02 IST 2020,0.64,16.11
Sun 20 Dec 19:00:01 IST 2020,0.67,0.83
Sun 20 Dec 19:30:01 IST 2020,0.7,17.65
Sun 20 Dec 20:00:01 IST 2020,0.76,15.93
Sun 20 Dec 20:30:01 IST 2020,0.72,17.59
Sun 20 Dec 21:00:01 IST 2020,0.73,18.9
Sun 20 Dec 21:30:01 IST 2020,0.73,17.79
Sun 20 Dec 22:00:01 IST 2020,0.74,17.14
Sun 20 Dec 22:30:01 IST 2020,0.69,15.01
Sun 20 Dec 23:00:01 IST 2020,0.72,13.89
Sun 20 Dec 23:30:01 IST 2020,0.77,16.18
Mon 21 Dec 00:00:01 IST 2020,0.79,16.39
Mon 21 Dec 00:30:01 IST 2020,0.73,17.28
Mon 21 Dec 01:00:01 IST 2020,0.73,17.73
Mon 21 Dec 01:30:01 IST 2020,0.7,15.7
Mon 21 Dec 02:00:01 IST 2020,0.77,14.21
