Date,Download,Upload
Tue 15 Dec 07:30:01 IST 2020,4.82,20.83
Tue 15 Dec 08:00:01 IST 2020,18.18,26.22
Tue 15 Dec 08:30:01 IST 2020,30.95,29.62
Tue 15 Dec 09:00:01 IST 2020,23.77,19.17
Tue 15 Dec 09:30:01 IST 2020,18.2,17.89
Tue 15 Dec 10:00:01 IST 2020,20.99,16.32
Tue 15 Dec 10:30:01 IST 2020,21.03,22.98
Tue 15 Dec 11:00:01 IST 2020,18.06,12.06
Tue 15 Dec 11:30:01 IST 2020,28.76,42.2
Tue 15 Dec 12:00:01 IST 2020,,
Tue 15 Dec 12:30:01 IST 2020,34.13,28.98
Tue 15 Dec 13:00:01 IST 2020,30.39,28.71
Tue 15 Dec 13:30:01 IST 2020,,
Tue 15 Dec 14:00:01 IST 2020,16.01,26.74
Tue 15 Dec 14:30:01 IST 2020,31.28,14.48
Tue 15 Dec 15:00:01 IST 2020,24.34,25.45
Tue 15 Dec 15:30:01 IST 2020,4.12,26.95
Tue 15 Dec 16:00:01 IST 2020,32.14,35.18
Tue 15 Dec 16:30:01 IST 2020,5.9,29.01
Tue 15 Dec 17:00:01 IST 2020,7.51,24.52
Tue 15 Dec 17:30:02 IST 2020,22.23,24.82
Tue 15 Dec 18:00:01 IST 2020,10.44,22.32
Tue 15 Dec 18:30:01 IST 2020,35.55,30.56
Tue 15 Dec 19:00:01 IST 2020,24.51,22.85
Tue 15 Dec 19:30:01 IST 2020,3.89,30.35
Tue 15 Dec 20:00:01 IST 2020,18.47,23.43
Tue 15 Dec 20:30:01 IST 2020,39.61,26.39
Tue 15 Dec 21:00:01 IST 2020,32.03,29.26
Tue 15 Dec 21:30:01 IST 2020,3.28,24.51
Tue 15 Dec 22:00:01 IST 2020,32.79,29.56
Tue 15 Dec 22:30:01 IST 2020,41.93,29
Tue 15 Dec 23:00:01 IST 2020,39.86,26.79
Tue 15 Dec 23:30:01 IST 2020,34.25,14.48
Wed 16 Dec 00:00:01 IST 2020,42.98,16.99
Wed 16 Dec 00:30:01 IST 2020,39.85,22.32
Wed 16 Dec 01:00:01 IST 2020,49.88,33.43
Wed 16 Dec 01:30:01 IST 2020,35.47,23.11
Wed 16 Dec 02:00:01 IST 2020,34.57,22.87
Wed 16 Dec 02:30:01 IST 2020,33.06,25.8
Wed 16 Dec 03:00:01 IST 2020,32.35,18.23
Wed 16 Dec 03:30:01 IST 2020,36.02,27.03
Wed 16 Dec 04:00:01 IST 2020,30.71,26.67
Wed 16 Dec 04:30:02 IST 2020,45.19,21.23
Wed 16 Dec 05:00:01 IST 2020,39.9,26.1
Wed 16 Dec 05:30:01 IST 2020,34.5,23.47
Wed 16 Dec 06:00:01 IST 2020,34.14,18.94
Wed 16 Dec 06:30:01 IST 2020,47.88,22
Wed 16 Dec 07:00:01 IST 2020,43.73,27.42
Wed 16 Dec 07:30:01 IST 2020,6.05,20.44
Wed 16 Dec 08:00:01 IST 2020,22.94,24.46
Wed 16 Dec 08:30:01 IST 2020,7.57,28.53
Wed 16 Dec 09:00:02 IST 2020,17.99,28.13
Wed 16 Dec 09:30:01 IST 2020,5.57,32.69
Wed 16 Dec 10:00:01 IST 2020,33.85,27.82
Wed 16 Dec 10:30:01 IST 2020,20.17,1.95
Wed 16 Dec 11:00:01 IST 2020,30.42,35.42
Wed 16 Dec 11:30:02 IST 2020,33.42,31.49
Wed 16 Dec 12:00:01 IST 2020,27.31,32.21
Wed 16 Dec 12:30:01 IST 2020,32.7,38.44
Wed 16 Dec 13:00:01 IST 2020,21.67,18.8
Wed 16 Dec 13:30:01 IST 2020,0,0.74
Wed 16 Dec 14:00:01 IST 2020,20.63,19.04
Wed 16 Dec 14:30:01 IST 2020,6.93,16.83
Wed 16 Dec 15:00:01 IST 2020,4.79,20.29
Wed 16 Dec 15:30:02 IST 2020,23.39,29.58
Wed 16 Dec 16:00:01 IST 2020,3.07,14.48
Wed 16 Dec 16:30:01 IST 2020,3.32,14.56
Wed 16 Dec 17:00:01 IST 2020,6.67,12.48
Wed 16 Dec 17:30:01 IST 2020,5.25,5.45
Wed 16 Dec 18:00:01 IST 2020,3.64,14.66
Wed 16 Dec 18:30:01 IST 2020,4.4,13.95
Wed 16 Dec 19:00:01 IST 2020,1.49,13.92
Wed 16 Dec 19:30:01 IST 2020,1.36,7.67
Wed 16 Dec 20:00:01 IST 2020,3.23,11.69
Wed 16 Dec 20:30:01 IST 2020,43.43,17.23
Wed 16 Dec 21:00:01 IST 2020,2.11,16.27
Wed 16 Dec 21:30:02 IST 2020,36.41,21.05
Wed 16 Dec 22:00:02 IST 2020,36.14,31.34
Wed 16 Dec 22:30:01 IST 2020,39.83,26.93
Wed 16 Dec 23:00:01 IST 2020,34.19,26.06
Wed 16 Dec 23:30:02 IST 2020,46.16,35.35
Thu 17 Dec 00:00:01 IST 2020,49.38,34.05
Thu 17 Dec 00:30:01 IST 2020,4.42,29.84
Thu 17 Dec 01:00:02 IST 2020,0,0
Thu 17 Dec 01:30:01 IST 2020,,
Thu 17 Dec 02:00:01 IST 2020,,
Thu 17 Dec 02:30:01 IST 2020,,
Thu 17 Dec 03:00:01 IST 2020,,
Thu 17 Dec 03:30:01 IST 2020,,
Thu 17 Dec 04:00:01 IST 2020,,
Thu 17 Dec 04:30:01 IST 2020,,
Thu 17 Dec 05:00:01 IST 2020,,
Thu 17 Dec 05:30:01 IST 2020,,
Thu 17 Dec 06:00:01 IST 2020,,
Thu 17 Dec 06:30:01 IST 2020,,
Thu 17 Dec 07:00:01 IST 2020,,
Thu 17 Dec 07:30:01 IST 2020,,
Thu 17 Dec 08:00:01 IST 2020,32.77,25.34
Thu 17 Dec 08:30:01 IST 2020,34.13,19.91
Thu 17 Dec 09:00:01 IST 2020,41.52,34.27
Thu 17 Dec 09:30:01 IST 2020,43.93,33.08
Thu 17 Dec 10:00:01 IST 2020,32.91,28.36
Thu 17 Dec 10:30:01 IST 2020,20.22,20.65
Thu 17 Dec 11:00:01 IST 2020,27.47,25.45
Thu 17 Dec 11:30:01 IST 2020,24.06,21.81
Thu 17 Dec 12:00:01 IST 2020,29.44,18.61
Thu 17 Dec 12:30:01 IST 2020,1.52,7.7
Thu 17 Dec 13:00:01 IST 2020,1.2,13.7
Thu 17 Dec 13:30:01 IST 2020,3.01,17.27
Thu 17 Dec 14:00:01 IST 2020,3,13.52
Thu 17 Dec 14:30:02 IST 2020,25.71,27.76
Thu 17 Dec 15:00:01 IST 2020,0.66,15.53
Thu 17 Dec 15:30:01 IST 2020,10.4,17.13
Thu 17 Dec 16:00:01 IST 2020,33.5,18.03
Thu 17 Dec 16:30:01 IST 2020,31.67,29.66
Thu 17 Dec 17:00:01 IST 2020,23.59,24.96
Thu 17 Dec 17:30:01 IST 2020,24.97,35.96
Thu 17 Dec 18:00:01 IST 2020,26.84,45.33
Thu 17 Dec 18:30:01 IST 2020,,
Thu 17 Dec 19:00:01 IST 2020,,
Thu 17 Dec 19:30:01 IST 2020,,
Thu 17 Dec 20:00:01 IST 2020,,
Thu 17 Dec 20:30:01 IST 2020,,
Thu 17 Dec 21:00:01 IST 2020,,
Thu 17 Dec 21:30:01 IST 2020,,
Thu 17 Dec 22:00:01 IST 2020,,
Thu 17 Dec 22:30:01 IST 2020,,
Thu 17 Dec 23:00:01 IST 2020,,
Thu 17 Dec 23:30:01 IST 2020,,
Fri 18 Dec 00:00:01 IST 2020,,
Fri 18 Dec 00:30:01 IST 2020,,
Fri 18 Dec 01:00:01 IST 2020,,
Fri 18 Dec 01:30:01 IST 2020,,
Fri 18 Dec 02:00:02 IST 2020,,
